title,src,added,author,interaction
"A Simple CodePen Example (feat. HTML, CSS, & JavaScript)","https://codepen.io/rcyou/embed/QEObEk?height=265&theme-id=light&default-tab=css,result",1/2/2021,F Person,INTERACTIVE
Sketfab Characther Model 1,https://sketchfab.com/models/e55956fee6444011b574bad021a03eae/embed?autostart=1,1/10/2021,Webb Hinton,STATIC
Leaflet Choropleth Map,https://leafletjs.com/examples/choropleth/example.html,2/20/2022,C Person,STATIC
D3 Cell Packing,https://observablehq.com/embed/@d3/zoomable-circle-packing?cells=chart,3/20/2022,Webb Hinton,STATIC
D3 Zoomable Sunburst,https://observablehq.com/embed/@d3/zoomable-sunburst?cells=chart,6/24/2021,E Person,STATIC
D3 Sortable Bar Chart,https://observablehq.com/embed/@d3/sortable-bar-chart?cells=chart,6/24/2021,Webb Hinton,STATIC
D3 Zoom to Bounding Box,https://observablehq.com/embed/@d3/zoom-to-bounding-box?cells=chart,6/25/2021,Webb Hinton,STATIC
D3 Collapislbe Tree,https://observablehq.com/embed/@d3/collapsible-tree?cells=chart,6/25/2021,Webb Hinton,STATIC
D3 World Tour,https://observablehq.com/embed/@d3/world-tour?cells=canvas,6/26/2021,B Person,STATIC
D3 Icelandic Populiation,https://observablehq.com/embed/@mbostock/icelandic-population-by-age-1841-2019?cells=chart,6/27/2021,B Person,STATIC
D3 Zoomable Icicle,https://observablehq.com/embed/@d3/zoomable-icicle?cells=chart,6/27/2021,D Person,STATIC
D3 Contours,https://observablehq.com/embed/@d3/contours?cells=chart,6/28/2021,Webb Hinton,STATIC
D3 Cells,https://observablehq.com/embed/@d3/hexbin-map?cells=chart,6/29/2021,Webb Hinton,STATIC
D3 Parallel Sets,https://observablehq.com/embed/@d3/parallel-sets?cells=chart,6/30/2021,Webb Hinton,STATIC
Dear Image,https://hosfeldinsurance.com/wp-content/uploads/2019/05/deer.jpg,6/29/2021,Webb Hinton,STATIC
Large Map Image,https://cdn.shopify.com/s/files/1/0977/4104/products/MC-EUR-955416.jpg?v=1536741405,6/24/2021,Webb Hinton,STATIC
Youtube Video,https://www.youtube.com/watch?v=ecK3EnyGD8o&t=76s,6/25/2021,Webb Hinton,STATIC
Data Viz Project,https://datavizproject.com/,6/25/2021,Webb Hinton,STATIC
Google Earth,"https://earth.google.com/web/@0,0,0a,22251752.77375655d,35y,0h,0t,0r",6/25/2021,Webb Hinton,STATIC
Open Data Raleigh,https://data-ral.opendata.arcgis.com/,6/25/2021,Webb Hinton,STATIC
Data Visulizaiton Catalogue,https://datavizcatalogue.com/,6/25/2021,Webb Hinton,STATIC
D3.js Graph Gallery,https://www.d3-graph-gallery.com/,6/25/2021,Webb Hinton,STATIC
